81.8176	1.34895
86.8092	1.45936
92.4099	1.56504
98.694	1.66379
105.745	1.75357
113.656	1.83255
122.533	1.89924
132.492	1.95248
143.667	1.99155
156.205	2.01613
170.274	2.02631
186.059	2.02253
203.77	2.00555
223.642	1.9764
245.938	1.93628
270.956	1.88655
299.026	1.82861
330.521	1.76389
365.859	1.69379
405.509	1.61963
449.997	1.54267
499.913	1.46403
555.92	1.38471
618.761	1.30559
689.27	1.22742
768.382	1.15083
857.147	1.07634
956.743	1.00435
1068.49	0.935174
1193.88	0.869041
1334.56	0.806105
1492.41	0.746456
1669.52	0.69013
1868.24	0.637121
2091.21	0.587382
2341.38	0.54084
2622.08	0.497398
2937.03	0.456942
3290.41	0.419346
3686.91	0.384473
4131.79	0.352184
4630.95	0.322335
5191.02	0.294783
5819.43	0.269386
6524.52	0.246005
7315.64	0.224505
8203.29	0.204758
9199.25	0.186638
10316.7	0.170027
11570.6	0.154813
12977.4	0.14089
14555.9	0.128159
16327	0.116526
18314.2	0.105903
20543.9	0.0962092
23045.6	0.0873688
25852.6	0.0793111
29002.1	0.0719709
32535.9	0.0652878
36500.9	0.0592059
40949.7	0.0536736
45941.3	0.0486436
51542	0.0440723
57826.1	0.0399193
64877	0.036148
72788.2	0.0327245
81664.7	0.0296178
91624.3	0.0267995
102799	0.0242438
115338	0.0219268
129406	0.0198269
145191	0.0179244
162902	0.016201
