45.2104	1.33333E-18
50	3.73333E-18
55.2971	8E-18
60.3904	1.30667E-17
65.1279	1.78667E-17
70.237	2.21333E-17
79.6583	3.06667E-17
85.9073	3.41333E-17
90.3433	3.62667E-17
101.18	3.97333E-17
109.117	4.10667E-17
119.168	4.21333E-17
130.144	4.24E-17
138.598	4.29333E-17
149.471	4.29333E-17
159.18	4.29333E-17
169.52	4.29333E-17
178.274	4.21333E-17
189.854	4.24E-17
199.658	4.18667E-17
212.627	4.13333E-17
229.307	4.10667E-17
244.203	4E-17
260.066	4E-17
280.467	3.92E-17
298.686	3.84E-17
330.329	3.70667E-17
360.755	3.6E-17
389.055	3.52E-17
419.576	3.44E-17
446.831	3.33333E-17
500.428	3.2E-17
546.522	3.09333E-17
596.861	2.93333E-17
660.093	2.82667E-17
720.893	2.72E-17
787.293	2.58667E-17
892.897	2.4E-17
1000	2.26667E-17
